Result, First, Second
1, 30, 112
-1, 112, 62
1, 21, 149
-1, 184, 61
1, 136, 1
-1, 188, 179
-1, 23, 183
-1, 174, 86
1, 16, 71
1, 38, 90
-1, 154, 22
1, 100, 110
-1, 35, 163
1, 27, 59
1, 152, 139
1, 87, 178
-1, 140, 5
0, 16, 7
1, 55, 42
0, 36, 134
1, 154, 37
0, 132, 105
0, 140, 120
1, 30, 135
-1, 106, 54
1, 188, 127
1, 24, 123
0, 71, 159
-1, 118, 55
1, 40, 85
0, 170, 34
1, 52, 82
1, 30, 21
1, 55, 68
-1, 51, 13
1, 191, 63
1, 23, 163
-1, 109, 175
-1, 100, 77
-1, 146, 119
0, 157, 54
1, 76, 6
1, 165, 2
-1, 6, 20
0, 140, 122
1, 54, 67
1, 119, 108
0, 44, 125
0, 84, 172
-1, 50, 140
-1, 117, 70
1, 156, 59
-1, 179, 28
1, 22, 36
-1, 170, 41
-1, 184, 121
-1, 58, 116
1, 24, 72
-1, 173, 143
-1, 110, 138
-1, 36, 192
1, 19, 116
-1, 95, 41
0, 93, 156
-1, 122, 167
0, 45, 162
-1, 123, 176
1, 85, 112
0, 140, 110
1, 164, 104
0, 124, 15
1, 130, 192
1, 125, 88
0, 69, 14
-1, 140, 25
-1, 70, 181
1, 83, 63
-1, 23, 21
0, 110, 87
-1, 100, 172
1, 62, 52
1, 114, 86
0, 52, 82
1, 98, 125
-1, 116, 2
1, 97, 128
1, 134, 184
-1, 93, 35
-1, 104, 90
1, 190, 7
1, 158, 130
0, 177, 53
-1, 155, 50
-1, 23, 70
-1, 189, 105
-1, 57, 30
1, 133, 122
-1, 185, 91
-1, 84, 5
-1, 161, 71
-1, 42, 166
-1, 110, 138
-1, 185, 141
1, 2, 141
1, 121, 155
1, 173, 155
1, 89, 106
-1, 9, 153
1, 96, 71
-1, 144, 7
1, 101, 84
-1, 105, 129
-1, 13, 29
-1, 4, 159
-1, 101, 124
-1, 169, 85
-1, 169, 14
1, 153, 163
1, 156, 155
1, 147, 81
-1, 63, 54
-1, 39, 165
0, 145, 98
1, 94, 188
-1, 42, 29
0, 44, 54
-1, 139, 128
-1, 5, 85
-1, 190, 32
-1, 144, 66
-1, 101, 125
-1, 138, 179
-1, 11, 117
-1, 106, 173
1, 151, 62
-1, 184, 185
-1, 123, 46
1, 117, 17
-1, 84, 139
-1, 7, 47
1, 142, 49
1, 36, 131
-1, 50, 89
1, 178, 12
-1, 109, 170
-1, 122, 60
0, 125, 172
-1, 80, 129
1, 159, 190
-1, 43, 151
1, 120, 93
-1, 113, 101
-1, 42, 19
1, 104, 58
1, 184, 115
1, 94, 167
1, 71, 145
-1, 4, 142
1, 168, 46
1, 33, 71
1, 130, 4
-1, 189, 10
-1, 173, 13
-1, 144, 160
-1, 46, 179
1, 47, 87
-1, 172, 162
-1, 83, 121
-1, 128, 102
-1, 145, 179
0, 164, 13
1, 66, 178
-1, 83, 121
-1, 57, 117
-1, 62, 177
-1, 6, 30
-1, 158, 156
-1, 29, 25
-1, 23, 38
1, 69, 104
-1, 67, 1
1, 92, 141
-1, 157, 170
-1, 154, 147
1, 150, 87
-1, 82, 12
-1, 111, 18
-1, 40, 155
0, 44, 45
-1, 14, 145
-1, 109, 149
1, 156, 95
-1, 151, 13
-1, 109, 154
1, 76, 6
1, 11, 193
-1, 163, 106
-1, 163, 167
1, 81, 44
1, 169, 161
1, 151, 45
0, 167, 97
-1, 42, 38
1, 194, 133
1, 10, 34
1, 173, 181
-1, 160, 89
1, 135, 149
-1, 49, 152
-1, 40, 111
-1, 64, 129
0, 166, 17
-1, 61, 129
1, 153, 156
0, 152, 106
1, 68, 194
-1, 147, 173
1, 114, 146
-1, 125, 156
1, 101, 102
0, 165, 123
1, 18, 0
-1, 147, 52
-1, 160, 177
-1, 99, 181
-1, 138, 108
-1, 107, 69
0, 30, 158
1, 150, 46
1, 185, 42
1, 92, 111
-1, 108, 129
-1, 191, 174
1, 98, 63
1, 154, 143
1, 54, 167
1, 163, 169
-1, 81, 9
0, 112, 162
1, 90, 168
-1, 103, 127
-1, 86, 162
-1, 50, 40
-1, 32, 35
-1, 19, 68
-1, 168, 71
1, 160, 192
-1, 174, 10
-1, 40, 117
-1, 111, 19
-1, 6, 77
-1, 49, 52
1, 62, 80
1, 8, 69
-1, 49, 87
-1, 113, 152
1, 115, 161
1, 125, 126
-1, 125, 132
-1, 70, 41
-1, 161, 71
1, 0, 28
-1, 80, 189
1, 96, 177
-1, 66, 82
-1, 7, 34
-1, 63, 97
-1, 67, 117
1, 150, 132
-1, 53, 31
-1, 120, 36
-1, 168, 0
-1, 60, 90
-1, 110, 98
1, 52, 63
-1, 89, 59
1, 24, 62
-1, 65, 28
-1, 2, 111
1, 12, 85
-1, 110, 14
-1, 76, 118
-1, 113, 180
-1, 99, 37
-1, 136, 78
-1, 140, 195
-1, 145, 150
-1, 171, 102
-1, 20, 152
-1, 172, 42
-1, 64, 110
1, 133, 148
-1, 187, 145
1, 162, 75
1, 123, 82
1, 110, 99
-1, 169, 189
-1, 147, 102
-1, 76, 60
-1, 34, 33
1, 22, 110
1, 195, 20
1, 173, 174
-1, 174, 43
1, 43, 103
-1, 74, 10
-1, 84, 109
1, 73, 186
1, 76, 101
1, 22, 24
-1, 9, 75
-1, 8, 171
1, 162, 150
-1, 82, 45
-1, 135, 64
1, 111, 163
1, 183, 38
1, 12, 8
-1, 133, 26
-1, 57, 13
-1, 114, 22
-1, 139, 121
-1, 82, 15
1, 88, 45
1, 172, 62
1, 26, 160
1, 1, 133
1, 84, 8
-1, 113, 179
1, 33, 34
-1, 36, 182
-1, 128, 174
-1, 190, 78
1, 130, 51
1, 97, 87
-1, 157, 143
1, 108, 42
-1, 111, 157
-1, 79, 106
1, 90, 164
-1, 82, 109
-1, 58, 34
1, 141, 169
-1, 154, 20
1, 147, 188
-1, 61, 25
-1, 52, 91
-1, 126, 33
1, 131, 116
-1, 140, 76
1, 30, 189
-1, 82, 65
1, 0, 5
-1, 151, 114
-1, 60, 181
1, 135, 79
-1, 12, 31
-1, 137, 71
1, 47, 8
1, 95, 155
-1, 95, 70
1, 64, 54
1, 90, 114
-1, 124, 121
-1, 20, 84
1, 145, 18
-1, 14, 63
1, 142, 9
-1, 30, 24
-1, 1, 108
-1, 159, 154
1, 60, 158
-1, 57, 93
1, 181, 89
1, 71, 141
-1, 44, 21
-1, 67, 165
-1, 90, 148
1, 59, 116
1, 148, 124
1, 102, 19
-1, 71, 43
-1, 130, 58
-1, 9, 170
1, 72, 29
1, 150, 49
1, 91, 172
1, 41, 12
1, 170, 66
1, 50, 97
1, 18, 12
1, 77, 97
1, 101, 160
1, 176, 88
1, 41, 61
1, 65, 180
1, 0, 141
1, 178, 91
-1, 31, 182
-1, 54, 80
1, 86, 147
-1, 154, 46
-1, 120, 118
-1, 144, 82
-1, 169, 59
-1, 148, 117
1, 143, 67
-1, 16, 17
-1, 74, 131
-1, 67, 50
-1, 157, 140
1, 11, 39
-1, 34, 42
-1, 178, 132
0, 194, 173
1, 62, 63
0, 69, 61
-1, 8, 41
1, 142, 86
1, 22, 73
1, 26, 124
1, 56, 82
1, 159, 11
1, 134, 102
1, 58, 8
1, 83, 21
1, 23, 13
1, 178, 191
1, 196, 119
1, 113, 9
1, 18, 9
1, 64, 129
1, 53, 54
-1, 159, 0
1, 58, 64
1, 1, 3
1, 168, 65
-1, 175, 184
-1, 124, 189
-1, 21, 55
-1, 51, 104
1, 111, 49
-1, 120, 3
-1, 39, 22
-1, 158, 126
-1, 190, 94
-1, 46, 64
1, 193, 138
-1, 59, 54
-1, 24, 96
1, 184, 36
1, 56, 104
1, 148, 123
1, 65, 155
-1, 99, 53
1, 64, 65
-1, 65, 192
1, 176, 45
1, 117, 98
-1, 195, 160
1, 180, 145
-1, 128, 18
1, 189, 74
1, 98, 99
-1, 97, 26
-1, 65, 41
1, 17, 97
1, 20, 81
-1, 187, 80
-1, 125, 60
1, 121, 99
-1, 145, 77
1, 44, 77
-1, 44, 190
1, 24, 135
1, 85, 155
-1, 34, 174
1, 53, 80
1, 194, 155
-1, 178, 144
1, 149, 99
1, 5, 146
-1, 163, 77
1, 76, 137
1, 3, 187
1, 10, 113
-1, 191, 141
-1, 122, 164
-1, 196, 94
-1, 72, 151
-1, 120, 140
-1, 31, 46
-1, 146, 29
-1, 76, 47
-1, 80, 187
-1, 110, 124
-1, 27, 143
-1, 159, 2
1, 27, 24
-1, 79, 195
1, 135, 97
-1, 45, 42
-1, 33, 119
-1, 192, 142
-1, 99, 150
1, 85, 80
1, 96, 3
1, 88, 148
-1, 116, 29
1, 178, 148
-1, 157, 87
-1, 35, 52
-1, 14, 70
1, 147, 191
1, 172, 8
-1, 71, 47
1, 1, 166
-1, 83, 10
0, 87, 28
-1, 79, 109
-1, 196, 71
1, 22, 136
-1, 84, 166
-1, 178, 112
-1, 17, 191
-1, 110, 136
1, 126, 191
-1, 76, 54
-1, 6, 88
1, 162, 30
-1, 136, 25
1, 181, 175
-1, 132, 32
-1, 88, 50
-1, 175, 3
1, 47, 64
1, 96, 83
1, 111, 100
1, 78, 107
-1, 124, 125
1, 100, 14
1, 142, 187
-1, 39, 27
1, 130, 185
-1, 0, 189
1, 139, 63
1, 69, 24
0, 28, 138
-1, 172, 170
1, 151, 21
1, 60, 160
-1, 66, 85
-1, 73, 69
1, 16, 82
1, 151, 152
1, 0, 4
0, 105, 175
1, 101, 6
1, 91, 152
-1, 31, 122
-1, 40, 154
1, 72, 73
1, 36, 113
1, 118, 187
1, 63, 50
1, 57, 157
-1, 53, 184
1, 43, 99
1, 108, 113
-1, 131, 159
1, 28, 74
-1, 191, 175
1, 56, 131
-1, 63, 29
-1, 20, 10
0, 7, 74
1, 21, 150
1, 185, 27
-1, 164, 160
1, 31, 47
-1, 122, 64
1, 36, 160
1, 134, 46
1, 88, 106
-1, 35, 126
-1, 5, 162
1, 0, 142
-1, 115, 68
1, 154, 140
-1, 1, 125
-1, 191, 94
1, 86, 31
1, 41, 12
-1, 64, 55
-1, 50, 132
1, 13, 110
-1, 92, 112
1, 102, 168
-1, 156, 37
-1, 10, 96
1, 114, 6
-1, 153, 29
1, 94, 148
-1, 182, 54
-1, 55, 114
-1, 62, 90
-1, 57, 117
-1, 77, 78
1, 94, 11
-1, 142, 78
1, 19, 191
-1, 152, 78
0, 165, 14
-1, 149, 189
1, 17, 11
-1, 99, 95
1, 78, 133
-1, 163, 95
1, 90, 11
1, 158, 186
-1, 170, 22
-1, 157, 38
1, 165, 133
1, 137, 3
0, 86, 169
0, 27, 61
0, 149, 18
1, 41, 110
-1, 163, 141
1, 54, 130
1, 171, 65
1, 43, 144
-1, 89, 54
-1, 110, 11
0, 22, 87
-1, 110, 170
-1, 128, 71
1, 141, 182
1, 95, 14
-1, 137, 103
0, 33, 172
1, 67, 124
0, 69, 101
-1, 192, 120
-1, 72, 84
1, 101, 25
1, 50, 35
1, 60, 164
0, 116, 25
1, 19, 86
-1, 94, 151
-1, 153, 105
1, 119, 16
1, 172, 150
0, 96, 37
1, 191, 38
1, 7, 89
-1, 61, 162
-1, 117, 18
1, 18, 46
-1, 10, 102
-1, 46, 58
1, 11, 97
-1, 150, 128
1, 38, 128
-1, 70, 85
1, 102, 195
1, 194, 193
1, 145, 73
1, 173, 158
1, 190, 104
1, 138, 169
1, 180, 34
-1, 116, 189
-1, 173, 60
1, 153, 120
-1, 63, 102
1, 118, 13
-1, 115, 130
-1, 133, 17
1, 40, 148
1, 159, 160
-1, 75, 147
-1, 180, 85
1, 108, 79
-1, 116, 73
1, 4, 195
0, 111, 87
0, 37, 176
0, 86, 102
-1, 180, 11
-1, 180, 55
-1, 97, 2
-1, 9, 70
-1, 1, 153
-1, 115, 176
-1, 21, 105
0, 5, 175
0, 4, 118
1, 30, 55
-1, 103, 151
1, 48, 20
1, 190, 146
1, 154, 77
1, 160, 185
-1, 111, 150
-1, 73, 148
1, 105, 71
-1, 72, 26
-1, 91, 25
-1, 51, 119
0, 176, 179
1, 109, 164
1, 185, 179
-1, 189, 87
-1, 166, 98
0, 87, 153
-1, 123, 111
-1, 107, 49
-1, 36, 62
0, 60, 4
1, 95, 160
-1, 167, 70
-1, 79, 54
-1, 15, 77
1, 121, 9
1, 39, 57
-1, 186, 93
1, 154, 25
1, 35, 42
-1, 138, 149
1, 85, 44
1, 60, 16
1, 159, 66
-1, 31, 3
1, 117, 146
-1, 86, 132
1, 43, 53
1, 135, 23
-1, 34, 0
-1, 171, 149
-1, 140, 165
-1, 71, 1
-1, 112, 125
-1, 158, 77
1, 113, 58
-1, 112, 121
1, 0, 31
-1, 116, 60
1, 167, 40
1, 159, 51
1, 12, 115
1, 52, 39
-1, 5, 195
-1, 116, 67
1, 2, 144
1, 167, 67
1, 45, 133
-1, 135, 183
1, 61, 98
-1, 155, 2
1, 33, 171
1, 125, 155
-1, 20, 13
0, 102, 145
-1, 188, 21
-1, 109, 94
-1, 63, 95
-1, 161, 81
-1, 20, 2
0, 31, 141
-1, 114, 0
1, 150, 58
1, 52, 171
1, 195, 141
-1, 21, 13
1, 114, 67
-1, 134, 102
-1, 16, 58
-1, 183, 127
1, 97, 113
-1, 157, 167
-1, 188, 47
1, 195, 169
1, 168, 166
-1, 148, 76
1, 72, 160
1, 136, 20
-1, 37, 88
1, 179, 111
1, 2, 144
1, 33, 66
-1, 81, 76
1, 78, 185
1, 71, 24
1, 17, 82
1, 145, 70
-1, 79, 169
1, 39, 141
-1, 181, 23
-1, 66, 140
-1, 106, 164
-1, 123, 138
1, 56, 40
1, 190, 186
1, 92, 143
1, 44, 73
-1, 45, 21
-1, 152, 117
1, 10, 108
1, 115, 20
-1, 45, 134
-1, 5, 17
1, 190, 156
-1, 18, 119
1, 28, 161
-1, 107, 0
1, 90, 74
-1, 28, 111
-1, 63, 67
-1, 16, 43
1, 191, 45
-1, 153, 64
0, 169, 128
-1, 52, 21
-1, 78, 109
1, 78, 52
-1, 45, 71
1, 32, 62
1, 166, 100
1, 104, 98
1, 47, 169
1, 183, 118
-1, 147, 184
-1, 75, 182
1, 195, 24
1, 56, 119
1, 38, 1
-1, 89, 91
-1, 161, 70
-1, 144, 134
1, 165, 124
1, 30, 128
-1, 96, 101
1, 2, 123
-1, 45, 91
-1, 103, 61
-1, 187, 77
-1, 44, 72
-1, 162, 14
1, 134, 191
-1, 137, 70
-1, 99, 60
-1, 152, 145
-1, 69, 60
1, 184, 6
-1, 139, 108
-1, 122, 149
1, 79, 139
-1, 97, 131
-1, 48, 80
-1, 52, 67
-1, 44, 61
-1, 96, 94
0, 143, 151
1, 11, 23
1, 97, 16
-1, 157, 57
0, 86, 172
-1, 55, 85
-1, 95, 163
-1, 75, 157
-1, 157, 27
1, 51, 23
-1, 138, 39
-1, 146, 19
-1, 2, 14
-1, 70, 44
-1, 136, 83
1, 12, 28
1, 96, 150
-1, 130, 170
-1, 35, 28
1, 98, 78
-1, 2, 37
0, 98, 26
1, 14, 170
1, 37, 98
1, 173, 171
1, 180, 128
-1, 83, 189
1, 108, 137
0, 116, 106
1, 110, 187
1, 23, 59
-1, 126, 170
-1, 146, 85
0, 32, 35
-1, 95, 183
0, 176, 54
-1, 1, 33
0, 70, 83
1, 159, 75
0, 192, 37
1, 35, 123
1, 40, 45
1, 143, 131
-1, 163, 185
1, 54, 87
-1, 16, 45
1, 102, 70
-1, 151, 183
-1, 77, 100
-1, 179, 57
-1, 99, 55
1, 180, 36
-1, 108, 151
-1, 182, 26
1, 116, 87
-1, 6, 52
-1, 133, 162
0, 142, 170
1, 142, 38
1, 64, 31
-1, 185, 94
-1, 155, 18
1, 108, 156
-1, 1, 166
-1, 73, 4
-1, 106, 61
-1, 80, 17
1, 77, 169
-1, 152, 92
-1, 11, 129
-1, 168, 76
-1, 12, 19
1, 65, 171
1, 30, 63
-1, 131, 183
-1, 30, 120
1, 72, 49
-1, 178, 101
1, 69, 34
-1, 186, 113
-1, 169, 30
-1, 6, 177
-1, 129, 1
-1, 160, 183
-1, 129, 57
1, 15, 80
-1, 152, 109
-1, 193, 76
1, 46, 169
1, 170, 192
-1, 147, 33
-1, 96, 182
1, 34, 123
-1, 8, 32
-1, 31, 23
-1, 182, 104
-1, 143, 107
-1, 48, 70
-1, 92, 140
-1, 161, 134
1, 184, 110
-1, 168, 102
-1, 96, 39
-1, 71, 93
-1, 101, 10
1, 48, 161
-1, 168, 47
-1, 161, 68
-1, 134, 188
-1, 49, 50
1, 105, 93
-1, 194, 14
1, 116, 122
1, 64, 103
1, 184, 174
-1, 190, 149
-1, 186, 157
-1, 121, 93
1, 179, 123
-1, 40, 10
-1, 63, 40
-1, 95, 101
-1, 164, 179
-1, 31, 69
-1, 49, 97
1, 126, 2
1, 154, 106
-1, 40, 162
-1, 145, 58
-1, 153, 131
-1, 112, 193
-1, 159, 98
-1, 166, 61
1, 80, 141
-1, 31, 34
-1, 156, 16
-1, 185, 121
1, 35, 1
-1, 185, 112
1, 59, 183
1, 135, 120
1, 127, 54
-1, 143, 58
1, 191, 180
1, 157, 95
-1, 92, 164
-1, 170, 80
1, 76, 92
-1, 24, 74
1, 0, 188
1, 15, 149
-1, 109, 58
1, 105, 180
1, 149, 140
0, 132, 28
1, 36, 90
-1, 153, 102
-1, 41, 22
1, 138, 163
-1, 19, 38
0, 54, 51
0, 54, 145
-1, 67, 76
0, 100, 22
-1, 89, 125
-1, 137, 109
1, 138, 23
-1, 93, 83
-1, 134, 151
0, 6, 119
-1, 58, 43
-1, 8, 122
0, 142, 175
-1, 131, 71
-1, 80, 109
-1, 59, 132
1, 41, 185
0, 51, 118
-1, 1, 147
0, 38, 75
-1, 124, 132
-1, 145, 45
-1, 155, 92
-1, 83, 4
-1, 192, 109
0, 47, 156
0, 66, 132
-1, 81, 146
0, 158, 192
0, 98, 165
-1, 13, 31
0, 192, 188
-1, 79, 23
1, 132, 124
0, 101, 78
1, 38, 155
-1, 86, 46
1, 194, 79
1, 175, 83
-1, 44, 194
1, 172, 166
-1, 40, 67
0, 175, 118
-1, 40, 164
0, 43, 128
1, 47, 90
0, 53, 142
-1, 1, 143
0, 55, 10
-1, 138, 143
-1, 190, 154
-1, 73, 103
-1, 113, 142
1, 47, 128
1, 173, 145
1, 148, 110
0, 167, 14
-1, 151, 165
1, 14, 73
1, 139, 168
-1, 163, 157
1, 195, 151
1, 193, 171
1, 154, 35
-1, 187, 50
0, 5, 152
1, 84, 86
-1, 36, 151
-1, 24, 45
-1, 188, 4
1, 41, 50
1, 6, 49
1, 134, 113
-1, 109, 41
-1, 154, 129
-1, 15, 19
1, 125, 182
1, 165, 130
1, 181, 168
1, 134, 166
1, 70, 63
1, 127, 175
-1, 190, 1
1, 46, 24
1, 171, 80
1, 60, 75
1, 191, 71
-1, 89, 56
-1, 35, 4
-1, 82, 120
-1, 99, 155
-1, 64, 108
-1, 8, 17
1, 65, 186
-1, 157, 52
1, 6, 168
-1, 35, 17
-1, 57, 125
1, 157, 146
1, 133, 106
0, 4, 98
-1, 59, 172
1, 75, 11
1, 22, 92
-1, 164, 151
0, 174, 93
1, 33, 160
1, 88, 128
1, 193, 190
1, 111, 147
-1, 36, 42
1, 181, 122
1, 74, 14
1, 77, 25
-1, 46, 126
1, 60, 182
1, 161, 31
1, 73, 97
-1, 148, 35
-1, 188, 95
1, 111, 79
0, 183, 182
-1, 55, 130
1, 14, 63
0, 28, 188
-1, 16, 89
1, 167, 11
1, 127, 110
0, 10, 4
-1, 80, 76
-1, 49, 171
1, 77, 6
1, 4, 25
0, 141, 179
-1, 16, 135
1, 135, 58
1, 97, 160
-1, 48, 17
0, 191, 144
0, 194, 56
0, 26, 72
-1, 67, 126
-1, 150, 112
-1, 19, 56
-1, 32, 149
-1, 105, 110
0, 128, 162
-1, 69, 169
-1, 84, 189
1, 0, 168
-1, 144, 5
0, 53, 64
1, 127, 1
-1, 109, 35
-1, 36, 43
-1, 59, 28
1, 188, 23
1, 109, 52
1, 67, 63
1, 18, 51
1, 192, 75
1, 58, 79
-1, 17, 143
1, 159, 86
1, 175, 23
1, 181, 102
1, 160, 137
1, 159, 163
1, 83, 169
1, 76, 84
-1, 62, 111
1, 50, 161
-1, 192, 74
-1, 77, 173
1, 10, 129
-1, 19, 25
1, 117, 74
-1, 188, 173
-1, 186, 3
1, 102, 126
-1, 96, 46
1, 38, 135
-1, 187, 57
-1, 81, 164
-1, 183, 12
1, 45, 0
1, 39, 115
1, 107, 16
-1, 91, 136
1, 149, 186
-1, 140, 21
1, 132, 3
-1, 49, 159
-1, 107, 174
-1, 110, 100
-1, 81, 194
-1, 27, 152
-1, 43, 155
-1, 85, 87
1, 16, 59
-1, 191, 12
1, 117, 19
-1, 81, 6
1, 19, 135
-1, 132, 13
1, 122, 53
1, 164, 141
-1, 107, 153
1, 59, 106
-1, 163, 116
-1, 92, 90
1, 34, 189
1, 120, 10
1, 162, 11
1, 19, 0
-1, 80, 71
-1, 116, 143
-1, 52, 195
1, 131, 22
1, 19, 139
-1, 152, 165
-1, 62, 153
-1, 48, 107
-1, 183, 90
-1, 71, 68
1, 162, 1
-1, 63, 38
-1, 32, 175
1, 138, 172
1, 96, 83
1, 183, 11
-1, 67, 60
0, 108, 109
-1, 184, 120
1, 160, 50
0, 97, 99
-1, 65, 57
-1, 52, 19
1, 181, 126
1, 3, 133
-1, 157, 44
1, 159, 48
-1, 161, 32
0, 161, 24
1, 119, 10
1, 193, 110
-1, 188, 192
0, 27, 53
0, 73, 11
-1, 128, 111
-1, 116, 103
1, 39, 122
-1, 58, 111
0, 79, 96
1, 195, 120
1, 163, 77
1, 168, 14
0, 37, 8
0, 140, 158
0, 118, 14
0, 144, 63
0, 125, 152
0, 138, 131
0, 7, 135
0, 151, 13
0, 61, 190
0, 184, 134
0, 135, 144
-1, 7, 167
0, 72, 23
-1, 58, 69
1, 125, 172
1, 48, 3
0, 156, 133
-1, 6, 79
1, 88, 156
1, 61, 165
1, 134, 97
0, 195, 38
1, 78, 79
1, 178, 63
1, 111, 48
-1, 74, 137
1, 98, 174
-1, 99, 54
1, 67, 122
-1, 171, 71
1, 73, 0
-1, 107, 29
-1, 67, 26
-1, 75, 114
-1, 172, 104
-1, 45, 110
1, 13, 10
0, 179, 164
-1, 187, 2
-1, 59, 114
-1, 124, 61
-1, 137, 121
-1, 1, 149
1, 47, 41
1, 70, 71
0, 140, 1
-1, 52, 189
1, 111, 117
1, 173, 64
-1, 97, 101
-1, 32, 148
-1, 119, 149
-1, 116, 126
1, 116, 156
-1, 128, 12
1, 54, 113
-1, 144, 161
1, 124, 8
1, 67, 68
-1, 185, 195
-1, 100, 193
-1, 139, 54
-1, 168, 130
-1, 82, 146
-1, 53, 155
1, 118, 25
-1, 87, 164
1, 181, 118
-1, 15, 173
0, 61, 60
1, 176, 14
-1, 41, 63
-1, 191, 158
-1, 35, 191
1, 94, 37
1, 10, 17
-1, 117, 114
1, 160, 52
1, 158, 167
-1, 181, 141
1, 37, 31
-1, 119, 143
-1, 124, 3
1, 83, 95
1, 3, 28
1, 47, 101
-1, 32, 19
0, 194, 37
-1, 110, 94
-1, 145, 60
1, 114, 110
1, 175, 174
-1, 120, 78
0, 73, 143
-1, 63, 116
1, 85, 141
1, 156, 190
1, 48, 123
1, 121, 88
-1, 104, 85
-1, 174, 45
1, 68, 44
-1, 52, 148
1, 194, 89
1, 39, 195
-1, 178, 64
1, 27, 57
-1, 161, 4
1, 111, 110
0, 151, 94
-1, 53, 4
0, 195, 69
0, 56, 181
1, 20, 73
0, 85, 48
0, 70, 6
0, 150, 61
1, 196, 187
0, 50, 30
0, 18, 86
-1, 186, 92
1, 172, 169
1, 13, 88
-1, 157, 50
0, 50, 28
0, 20, 183
0, 149, 121
1, 150, 65
1, 193, 55
-1, 139, 132
0, 17, 52
1, 39, 40
0, 26, 143
-1, 65, 30
-1, 187, 101
-1, 52, 3
-1, 50, 172
-1, 167, 139
-1, 147, 108
-1, 51, 166
-1, 140, 43
-1, 0, 169
-1, 43, 132
-1, 145, 104
-1, 71, 91
-1, 87, 28
-1, 157, 127
1, 127, 131
-1, 8, 48
1, 192, 95
1, 180, 67
1, 68, 62
-1, 186, 126
1, 104, 186
0, 146, 104
0, 62, 162
0, 157, 1
0, 57, 72
0, 76, 170
0, 70, 152
0, 169, 81
0, 144, 164
0, 35, 33
-1, 63, 59
-1, 13, 177
0, 37, 142
0, 34, 60
0, 86, 42
1, 21, 39
-1, 118, 134
-1, 161, 174
-1, 153, 58
-1, 97, 73
0, 146, 57
-1, 18, 56
0, 138, 177
0, 53, 64
0, 154, 14
1, 77, 186
0, 45, 120
1, 49, 125
0, 161, 93
0, 81, 43
0, 100, 6
0, 109, 65
0, 22, 71
0, 2, 12
0, 117, 103
0, 40, 21
0, 72, 51
0, 181, 54
0, 37, 65
0, 27, 87
0, 177, 61
0, 156, 174
1, 88, 166
0, 14, 145
0, 95, 81
0, 157, 143
0, 37, 72
0, 47, 41
0, 113, 108
0, 60, 122
-1, 8, 44
0, 166, 46
0, 1, 166
0, 146, 129
0, 140, 46
0, 46, 90
-1, 74, 174
0, 147, 2
0, 80, 195
0, 93, 21
1, 83, 79
0, 121, 101
0, 161, 176
1, 25, 134
0, 145, 24
-1, 34, 165
0, 58, 45
-1, 6, 76
0, 105, 193
-1, 31, 164
1, 38, 145
0, 87, 179
0, 163, 101
0, 36, 89
0, 12, 4
-1, 35, 190
0, 72, 43
0, 1, 119
0, 66, 140
-1, 47, 132
1, 129, 79
0, 108, 76
0, 149, 33
-1, 110, 98
1, 32, 3
0, 0, 154
0, 52, 143
0, 107, 46
0, 24, 82
0, 76, 54
0, 45, 144
0, 17, 188
0, 67, 9
0, 65, 88
0, 12, 54
1, 7, 138
0, 69, 178
0, 18, 40
0, 14, 78
-1, 180, 56
-1, 138, 72
0, 12, 21
-1, 138, 127
0, 102, 4
1, 119, 105
0, 72, 91
1, 41, 126
1, 132, 31
0, 46, 164
0, 10, 111
0, 17, 163
0, 50, 188
1, 30, 65
